"rn","lcSn","bsshNm","telno","adres","etcAdres","zip","lcinfoLa","lcinfoLo","cl","clNm","scopeCd","scope","hmpg"
"16","50009705","(김포)건영마트","031-988-4623","경기도 김포시 풍년로 45-0","","10111","37.6244776","126.7260159","09","아동안전지킴이집","","",""
"17","50041600","(김포)고려백호태권도","031-986-4219","경기도 김포시 양곡3로1번길 26-30,한솔프라자 2층","한솔프라자 2층","10062","37.6541795","126.6315282","09","아동안전지킴이집","","",""
"18","50041026","(김포)그랜드마트","031-989-5840","경기도 김포시 조강로36번길 39-0","","10018","37.6919761","126.6023409","09","아동안전지킴이집","","",""
"19","50009780","(김포)길훈문구","031-985-1812","경기도 김포시 장차로 23-0","","10126","37.6040733","126.7705201","09","아동안전지킴이집","","",""
"20","50043162","(김포)나비문구","031-998-8850","경기도 김포시 김포한강9로 36-0,107호","107호","10070","37.6401636","37.6401636","09","아동안전지킴이집","","",""
"21","50009758","(김포)대명약국","031-988-0863","경기도 김포시 조강로36번길 14-0","","10018","37.6900862","126.6017642","09","아동안전지킴이집","","",""
"22","50009790","(김포)대성지물포","031-988-8474","경기도 김포시 애기봉로 860-0","","10011","37.7195883","126.632821","09","아동안전지킴이집","","",""
"23","50009762","(김포)동경돈까스","031-997-8929","경기도 김포시 김포대로 2501-0","","10029","37.6998836","126.5720071","09","아동안전지킴이집","","",""
"24","50039442","(김포)맥과이어스 디테일링","--","경기도 김포시 초당로61번길 11-0,1층","1층","10079","37.6446465","126.6732879","09","아동안전지킴이집","","",""
"25","50039445","(김포)부동산중개 김포자이","031-982-3611","경기도 김포시 태장로 845-0,센트럴자이 1차 초등학교 앞","센트럴자이 1차 초등학교 앞","10091","37.6319995","126.6791774","09","아동안전지킴이집","","",""
"26","50039455","(김포)비즈미","031-988-1253","경기도 김포시 김포한강4로 487-0,반도유보라4차 상가 1504호","반도유보라4차 상가 1504호","10066","37.6462878","126.6300639","09","아동안전지킴이집","","",""
"27","50009748","(김포)산들바이크(삼천리자전거)","031-989-8556","경기도 김포시 김포한강1로78번길 61-48","","10079","37.6447801","126.6723451","09","아동안전지킴이집","","",""
"28","50039407","(김포)삼성태권도","031-998-7778","경기도 김포시 감정로 42-0,신안실크밸리상가 2층","신안실크밸리상가 2층","10104","37.6195699","126.7006586","09","아동안전지킴이집","","",""
"29","50009757","(김포)새천년약국","031-981-9098","경기도 김포시 조강로 35-0","","10018","37.6893397","126.6011206","09","아동안전지킴이집","","",""
"30","50009803","(김포)석정마트","031-989-2847","경기도 김포시 대곶로 338-0","","10028","37.6737824","126.5550171","09","아동안전지킴이집","","",""
"31","50043164","(김포)성심약국","031-982-6547","경기도 김포시 김포한강9로 40-0","","10070","37.6404957","37.6404957","09","아동안전지킴이집","","",""
"32","50034669","(김포)세븐일레븐","031-997-3205","경기도 김포시 장곡로 54-0","","415-813","37.6068889","126.7495104","09","아동안전지킴이집","","",""
"33","50039440","(김포)세븐일레븐 김포3호점","031-988-5874","경기도 김포시 사우중로74번길 39-0,104호","104호","10111","37.6219808","126.721754","09","아동안전지킴이집","","",""
"34","50041036","(김포)세븐일레븐 김포대우점","031-984-1893","경기도 김포시 봉화로182번길 29-0","","10101","37.6296617","37.6296617","09","아동안전지킴이집","","",""
"35","50009710","(김포)세븐일레븐 청원점","031-981-0125","경기도 김포시 사우중로 92-0","","10111","37.622404","126.7217355","09","아동안전지킴이집","","",""
"36","50038459","(김포)센타약국","031-983-4986","경기도 김포시 전원로 44-0","","10077","37.6472151","126.6854236","09","아동안전지킴이집","","",""
"37","50039459","(김포)소망아트","031-984-5400","경기도 김포시 유현로33번길 36-12","","10120","37.5982144","126.7261242","09","아동안전지킴이집","","",""
"38","50009810","(김포)수남마트","031-982-4593","경기도 김포시 수남로 22-0","","10046","37.629203","126.5893794","09","아동안전지킴이집","","",""
"39","50009811","(김포)수남보건진료소","031-980-5494","경기도 김포시 수남로22번길 7-0","","10046","37.6293963","126.5889679","09","아동안전지킴이집","","",""
"40","50009716","(김포)아트문구","031-984-2648","경기도 김포시 북변중로65번길 33-0","","10106","37.6256361","126.7107371","09","아동안전지킴이집","","",""
"41","50043163","(김포)엄마손분식","031-989-9898","경기도 김포시 김포한강10로134번길 77-0,104호","104호","10070","37.6417728","37.6417728","09","아동안전지킴이집","","",""
"42","50039441","(김포)엘리트체육관","--","경기도 김포시 풍년로 22-0,예은유치원 3층","예은유치원 3층","10111","37.6229032","126.7245702","09","아동안전지킴이집","","",""
"43","50034685","(김포)엘리트태권도","031-985-9707","경기도 김포시 사우중로74번길 29-0,시그마프라자 2층","시그마프라자 2층","10111","37.6216809","126.7215213","09","아동안전지킴이집","","",""
"44","50009799","(김포)영아트","031-981-5836","경기도 김포시 율생중앙로 46-0","","10039","37.6523683","126.5834338","09","아동안전지킴이집","","",""
"45","50034683","(김포)용인대타이곤","031-985-9873","경기도 김포시 북변중로 43-0","","10106","37.6255253","126.7113167","09","아동안전지킴이집","","",""
"46","50034678","(김포)용인대타이곤프렌즈 태권도","031-986-9992","경기도 김포시 유현로33번길 36-12,561-6 부광아이노스","561-6 부광아이노스","10120","37.5982144","126.7261242","09","아동안전지킴이집","","",""
"47","50009704","(김포)월드문구","031-982-5534","경기도 김포시 봉화로 180-0","","10101","37.6280448","126.7019725","09","아동안전지킴이집","","",""
"48","50009720","(김포)주연메디칼약국","031-993-9799","경기도 김포시 중봉로 9-0","","10103","37.6232521","126.6971282","09","아동안전지킴이집","","",""
"49","50038506","(김포)테라스크린","031-986-8248","경기도 김포시 김포한강11로438번길 123-0,1201동 116호","1201동 116호","10074","37.6507396","126.6953109","09","아동안전지킴이집","","",""
"50","50039457","(김포)통진신협","031-987-0161","경기도 김포시 김포대로2230번길 14-16","","10018","37.6901174","126.5998361","09","아동안전지킴이집","","",""
"51","50042052","(김포)파리바게뜨 김포향산점","031-983-3383","경기도 김포시 상미1로 4-0,102호","102호","10121","37.6179925","126.7472516","09","아동안전지킴이집","","",""
"52","50041927","(김포)한얼정보통신","031-996-0106","경기도 김포시 중봉로 4-0","","10102","37.6228735","126.6979277","09","아동안전지킴이집","","",""
"53","50034696","(김포)황금마트","031-983-8669","경기도 김포시 황금로48번길 5-37","","10047","37.6200002","126.6257098","09","아동안전지킴이집","","",""
"54","50009772","(김포)후암사랑샘 약국","031-982-4767","경기도 김포시 양곡로 537-0","","10059","37.6548456","126.6237305","09","아동안전지킴이집","","",""
"55","50009804","(김포)훈기상회(훈이네마트)","031-989-4214","경기도 김포시 대곶로 327-0","","10026","37.6729163","126.5549206","09","아동안전지킴이집","","",""
"56","50002916","(복)꿀벌어린이집","053-957-8846","대구광역시 동구 송라로28길 21-6","","41206","35.8798484","35.8798484","09","아동안전지킴이집","","",""
"57","50037256","(부천시)CU도당누리점","032-676-4939","경기도 부천시 원미구 성곡로69번길 93-0,1층","1층","14482","37.5186389","126.7923869","09","아동안전지킴이집","","",""
"58","50039604","(부천시)CU부천시청점","032-000-0000","경기도 부천시 길주로 199-0,굿모닝프라자 117호","굿모닝프라자 117호","14538","37.5050513","126.7645004","09","아동안전지킴이집","","",""
"59","50039609","(부천시)CU부천원미점","032-653-6545","경기도 부천시 원미로 143-0,143-0","143-0","14567","37.4954727","126.7914369","09","아동안전지킴이집","","",""
"60","50039725","(부천시)CU상동베스트점","032-667-3254","경기도 부천시 석천로38번길 13-0,1층","1층","14620","37.4907425","126.7610158","09","아동안전지킴이집","","",""
"61","50039719","(부천시)CU상동사랑마을점","032-249-2885","경기도 부천시 부흥로 152-0,1층 107-109","1층 107-109","14600","37.4958992","37.4958992","09","아동안전지킴이집","","",""
"62","50037260","(부천시)CU역곡은하점","032-351-6307","경기도 부천시 역곡로20번길 49-0,은하빌딩 1층","은하빌딩 1층","14670","37.4878753","126.8134845","09","아동안전지킴이집","","",""
"63","50039608","(부천시)CU중동역점","032-652-7181","경기도 부천시 부일로298번길 25-0,1층","1층","14625","37.4872938","126.7629498","09","아동안전지킴이집","","",""
"64","50037258","(부천시)CU편의점(역곡2동점)","032-341-0510","경기도 부천시 부일로 711-0,1층","1층","14672","37.4851871","126.8086989","09","아동안전지킴이집","","",""
"65","50037251","(부천시)CU편의점(원미사랑점)","032-655-0388","경기도 부천시 조종로 27-0,1층","1층","14568","37.4932371","126.7878091","09","아동안전지킴이집","","",""
"66","50008281","(부천시)GS 중동공원점","032-323-6399","경기도 부천시 소향로 149-0,B동 112호","B동 112호","14547","37.5021461","126.7641298","09","아동안전지킴이집","","",""
"67","50008373","(부천시)GS25(상동서해점)","032-327-8328","경기도 부천시 소향로 25-0,107호","107호","14544","37.5039316","126.7505625","09","아동안전지킴이집","","",""
"68","50008372","(부천시)GS25(송내점)","032-321-6558","경기도 부천시 부일로221번길 26-0,삼원빌딩 102호","삼원빌딩 102호","14623","37.4894816","126.7550662","09","아동안전지킴이집","","",""
"69","50036794","(부천시)GS25시 중동본점","032-657-6945","경기도 부천시 심중로114번길 35-0,1층","1층","14610","37.4930491","126.7722294","09","아동안전지킴이집","","",""
"70","50041579","(부천시)GS25중동덕유점","--","경기도 부천시 중동로 329-0,105호","105호","14536","37.5092552","126.769306","09","아동안전지킴이집","","",""
"71","50039605","(부천시)GS부천상도점","032-323-2297","경기도 부천시 장말로 156-0,1층","1층","14601","37.4933547","126.7592199","09","아동안전지킴이집","","",""
"72","50008240","(부천시)HY 심곡점","032-656-7581","경기도 부천시 부흥로374번길 25-5","","14630","37.4907971","126.782726","09","아동안전지킴이집","","",""
"73","50008383","(부천시)HY 중동점","032-325-0931","경기도 부천시 석천로53번길 11-0,1층","1층","14601","37.4921728","126.7599292","09","아동안전지킴이집","","",""
"74","50037866","(부천시)HY( 한국야쿠르트) 약대점","032-678-2174","경기도 부천시 약대동,약대동 175 A동호 (도약로207번길 12)","약대동 175 A동호 (도약로207번길 12)","14517","37.5108134","37.5108134","09","아동안전지킴이집","","",""
"75","50008284","(부천시)그린타운써브공인중개사","032-322-7000","경기도 부천시 부흥로303번길 43-0","","14581","37.4956744","126.7742785","09","아동안전지킴이집","","",""
"76","50008269","(부천시)글로리아문구","032-325-4024","경기도 부천시 계남로 165-0,주공상가 104호","주공상가 104호","14538","37.507548","126.7671624","09","아동안전지킴이집","","",""
"77","50039603","(부천시)금동마트","032-324-6942","경기도 부천시 중동로280번길 61-0,1층","1층","14539","37.5049041","126.7737204","09","아동안전지킴이집","","",""
"78","50037242","(부천시)나들마트(구 동원하이저마켓)","032-323-0039","경기도 부천시 장말로 107-1,1층","1층","14596","37.4955838","126.7544221","09","아동안전지킴이집","","",""
"79","50039720","(부천시)뚜레쥬르 중동래미안점","032-674-7973","경기도 부천시 신흥로276번길 15-0,래미안부천중동단지 103호","래미안부천중동단지 103호","14533","37.5080496","126.7764061","09","아동안전지킴이집","","",""
"80","50008338","(부천시)럭키슈퍼","032-683-9256","경기도 부천시 부천로245번길 42-0,1층","1층","14525","37.5062565","126.7833798","09","아동안전지킴이집","","",""
"81","50036790","(부천시)만물슈퍼","032-611-4052","경기도 부천시 부일로505번길 12-0,1층","1층","14642","37.4858283","126.7867076","09","아동안전지킴이집","","",""
"82","50036787","(부천시)메디안약국","032-668-7711","경기도 부천시 중동로 162-0,1층","1층","14609","37.494222","126.7680487","09","아동안전지킴이집","","",""
"83","50008256","(부천시)메디칼약국","032-324-6877","경기도 부천시 도약로 29-0,에이스프라자 103호","에이스프라자 103호","14504","37.5126652","37.5126652","09","아동안전지킴이집","","",""
"84","50008261","(부천시)메디팜 포도마을약국","032-321-6451","경기도 부천시 조마루로 137-0,삼보상가 101호","삼보상가 101호","14583","37.5010662","126.7590923","09","아동안전지킴이집","","",""
"85","50039938","(부천시)밥토리","032-000-0000","경기도 부천시 부일로 341-0,팰리스카운티중앙상가 116호","팰리스카운티중앙상가 116호","14613","37.4898921","37.4898921","09","아동안전지킴이집","","",""
"86","50008234","(부천시)복사골문구점","032-654-6444","경기도 부천시 중동로 162-0,상가 103호","상가 103호","14609","37.494222","126.7680487","09","아동안전지킴이집","","",""
"87","50008318","(부천시)부천메디칼약국","032-611-4040","경기도 부천시 부천로90번길 8-0,1층","1층","14570","37.4919896","126.7847874","09","아동안전지킴이집","","",""
"88","50039721","(부천시)부천보룡약국","032-321-4536","경기도 부천시 계남로242번길 35-4,1층","1층","14534","37.5049773","126.7764336","09","아동안전지킴이집","","",""
"89","50008380","(부천시)부천상동우체국","032-323-4082","경기도 부천시 부흥로 76-0,1층","1층","14596","37.4970144","126.7508135","09","아동안전지킴이집","","",""
"90","50008249","(부천시)부천중3동우체국","032-324-0005","경기도 부천시 계남로 211-0","","14535","37.5072795","126.7725279","09","아동안전지킴이집","","",""
"91","50039728","(부천시)쁘띠씨엘 제과점","032-322-0208","경기도 부천시 장말로 135-0,사랑마을청구상가 113호","사랑마을청구상가 113호","14600","37.4944405","126.7570873","09","아동안전지킴이집","","",""
"92","50039722","(부천시)사랑약국","032-322-6036","경기도 부천시 중동로 326-0,1층","1층","14535","37.508748","126.7699138","09","아동안전지킴이집","","",""
"93","50037244","(부천시)상동세일마트(구코사마트)","032-665-0420","경기도 부천시 장말로200번길 29-0,1층","1층","14620","37.4914215","126.7638994","09","아동안전지킴이집","","",""
"94","50008360","(부천시)상동세종약국","032-328-3560","경기도 부천시 상이로 43-0","","14593","37.4927133","126.7437158","09","아동안전지킴이집","","",""
"95","50043101","(부천시)상동자이공인중개사","032-328-2088","경기도 부천시 조마루로 52-0,102호","102호","14591","37.5001901","37.5001901","09","아동안전지킴이집","","",""
"96","50037870","(부천시)색연필문구점","032-328-7774","경기도 부천시 부흥로 71-0,백송마을 상가 102호","백송마을 상가 102호","14591","37.4982611","37.4982611","09","아동안전지킴이집","","",""
"97","50008279","(부천시)서울메디칼약국","032-217-0065","경기도 부천시 송내대로265번길 85-0","","14542","37.5073273","126.7538651","09","아동안전지킴이집","","",""
"98","50008345","(부천시)성가약국","032-676-3200","경기도 부천시 부천로245번길 40-0,1층","1층","14525","37.5059217","126.7841204","09","아동안전지킴이집","","",""
"99","50039601","(부천시)세븐일레븐 부천 라일락마을점","070-8888-4300","경기도 부천시 도약로 33-0,1층","1층","14504","37.5125815","126.7531217","09","아동안전지킴이집","","",""
"100","50037254","(부천시)셀파우등생교실","032-675-6958","경기도 부천시 신흥로335번길 12-0,1층","1층","14517","37.5136256","126.7745392","09","아동안전지킴이집","","",""
"101","50037246","(부천시)송림마트","032-323-8464","경기도 부천시 부흥로 2-0,102호","102호","14593","37.4969728","126.7426492","09","아동안전지킴이집","","",""
"102","50031501","(부천시)시민슈퍼","032-612-7973","경기도 부천시 부일로275번길 14-0,1층","1층","14621","37.4888195","126.7606518","09","아동안전지킴이집","","",""
"103","50008238","(부천시)심곡동우체국","032-215-9978","경기도 부천시 부일로 412-0,1층","1층","14628","37.4866705","37.4866705","09","아동안전지킴이집","","",""
"104","50008302","(부천시)심원모닝아트문구점","032-666-2737","경기도 부천시 계남로346번길 40-0,1층","1층","14551","37.5000246","126.7810721","09","아동안전지킴이집","","",""
"105","50037245","(부천시)역전슈퍼","032-665-6420","경기도 부천시 석천로2번길 74-0,1층","1층","14625","37.4870035","126.7636217","09","아동안전지킴이집","","",""
"106","50039726","(부천시)완도건어물","032-657-4102","경기도 부천시 장말로199번길 30-0,시장 상가 1층","시장 상가 1층","14605","37.4941207","126.7643865","09","아동안전지킴이집","","",""
"107","50039727","(부천시)우리문구사","032-653-0410","경기도 부천시 장말로187번길 31-0,1층","1층","14606","37.4943486","126.7629239","09","아동안전지킴이집","","",""
"108","50008296","(부천시)원미센타약국","032-668-7313","경기도 부천시 부천로 107-0","","14577","37.4937899","126.7846112","09","아동안전지킴이집","","",""
"109","50039614","(부천시)원미팔공팔공마트","032-613-8080","경기도 부천시 조마루로358번길 17-0,33-0","33-0","14576","37.4975706","126.7833851","09","아동안전지킴이집","","",""
"110","50008306","(부천시)유림약국","032-665-3793","경기도 부천시 원미로 111-0,1층","1층","14571","37.4922651","126.7905613","09","아동안전지킴이집","","",""
"111","50037867","(부천시)이마트24 R역곡센트레빌","032-000-0000","경기도 부천시 지봉로63번길 20-0,1층","1층","14663","37.4876034","126.8061729","09","아동안전지킴이집","","",""
"112","50037253","(부천시)이마트24 R춘의역점","032-675-5130","경기도 부천시 길주로391번길 25-0,1층","1층","14529","37.5045249","126.7858509","09","아동안전지킴이집","","",""
"113","50039600","(부천시)이마트24부천상동연우점","032-321-5072","경기도 부천시 평천로 597-0,1층 121호","1층 121호","14503","37.5158308","126.7570719","09","아동안전지킴이집","","",""
"114","50039607","(부천시)이마트24부천샤인점","032-323-0901","경기도 부천시 소향로 228-0,미리내마을 제1층 상가 108호","미리내마을 제1층 상가 108호","14579","37.4998643","126.7734184","09","아동안전지킴이집","","",""
"115","50008245","(부천시)이플러스마트","032-326-3438","경기도 부천시 계남로 202-0,1층","1층","14539","37.5070363","126.7708014","09","아동안전지킴이집","","",""
"116","50008228","(부천시)이화약국","032-652-8684","경기도 부천시 장말로 294-0,1층","1층","14615","37.4911636","126.774601","09","아동안전지킴이집","","",""
"117","50008288","(부천시)주연테크컴퓨터","032-323-8119","경기도 부천시 계남로334번길 33-4","","14551","37.5007362","126.7810492","09","아동안전지킴이집","","",""
"118","50008285","(부천시)중동종로약국","032-329-8006","경기도 부천시 부흥로303번길 36-0,금호프라자 1층","금호프라자 1층","14582","37.4964238","126.7761661","09","아동안전지킴이집","","",""
"119","50008319","(부천시)창대마트","032-657-7388","경기도 부천시 원미로198번길 19-0,1층","1층","14561","37.4998258","37.4998258","09","아동안전지킴이집","","",""
"120","50008305","(부천시)천지약국","032-651-5872","경기도 부천시 원미로 141-0","","14568","37.4952468","126.7913727","09","아동안전지킴이집","","",""
"121","50008232","(부천시)최재연헤어모드","032-612-9767","경기도 부천시 심중로132번길 38-0,1층","1층","14610","37.4944758","126.7725227","09","아동안전지킴이집","","",""
"122","50008309","(부천시)캔디문구","032-611-2813","경기도 부천시 조종로 32-0,1층","1층","14571","37.4928715","126.7881881","09","아동안전지킴이집","","",""
"123","50039724","(부천시)커피에반하다 목련마을점","032-327-9640","경기도 부천시 신상로 91-0,목련마을상가 103호","목련마을상가 103호","14595","37.4955898","126.7473202","09","아동안전지킴이집","","",""
"124","50036791","(부천시)코사나들가게","032-614-4561","경기도 부천시 신흥로112번길 28-0,1층","1층","14629","37.4933256","126.7797788","09","아동안전지킴이집","","",""
"125","50039616","(부천시)코사마트역곡점","032-342-5400","경기도 부천시 지봉로107번길 21-0,역곡1동 86 뉴목화타운 가-101","역곡1동 86 뉴목화타운 가-101","14668","37.4890888","126.810514","09","아동안전지킴이집","","",""
"126","50008262","(부천시)포도할인마트","032-322-1031","경기도 부천시 소향로 124-0","","14583","37.5013532","126.7615417","09","아동안전지킴이집","","",""
"127","50031500","(부천시)풍전슈퍼","032-644-8909","경기도 부천시 조마루로 428-0,1층","1층","14567","37.4970733","126.7911171","09","아동안전지킴이집","","",""
"128","50008366","(부천시)학생문구","032-655-8599","경기도 부천시 심중로27번길 124-0,1층","1층","14626","37.4870197","126.7668893","09","아동안전지킴이집","","",""
"129","50008325","(부천시)한국마트","032-344-3570","경기도 부천시 안곡로 292-0","","14665","37.492841","126.8135869","09","아동안전지킴이집","","",""
"130","50008324","(부천시)한국부동산","032-344-8944","경기도 부천시 안곡로 292-0,상가동 109호","상가동 109호","14665","37.492841","126.8135869","09","아동안전지킴이집","","",""
"131","50008304","(부천시)한빛약국","032-611-6330","경기도 부천시 원미로143번길 12-0,1층","1층","14567","37.4955403","126.7909948","09","아동안전지킴이집","","",""
"132","50039723","(부천시)한양공인중개사사무소","032-324-0400","경기도 부천시 조마루로 47-0,상가동 103호","상가동 103호","14587","37.5018238","37.5018238","09","아동안전지킴이집","","",""
"133","50042533","(부천시)한우축산무할인매장","032-326-8787","경기도 부천시 조마루로 246-0,1층","1층","14581","37.4974977","37.4974977","09","아동안전지킴이집","","",""
"134","50037240","(부천시)홈 PLUS마트","032-321-1534","경기도 부천시 중동,(중4동 1028), 계남로 105 한라마을 상가 1층","(중4동 1028), 계남로 105 한라마을 상가 1층","14511","37.5096931","37.5096931","09","아동안전지킴이집","","",""
"135","50008263","(부천시)홍진김밥","032-324-2997","경기도 부천시 조마루로 135-0","","14583","37.5010662","126.7590923","09","아동안전지킴이집","","",""
"136","50039790","(분당)24시공인중개사","031-712-5700","경기도 성남시 분당구 정자로 144-0","","13603","37.3627503","127.120199","09","아동안전지킴이집","","",""
"137","50038953","(분당)CU 동판교골드점","--","경기도 성남시 분당구 동판교로 212-0,제4상가동 101호","제4상가동 101호","13491","37.4008776","127.1181722","09","아동안전지킴이집","","",""
"138","50038954","(분당)CU 미금먹자골목점","031-711-7162","경기도 성남시 분당구 미금일로86번길 9-0,구미동","구미동","13627","37.3468254","127.1101818","09","아동안전지킴이집","","",""
"139","50039767","(분당)CU 분당이매점","031-709-0350","경기도 성남시 분당구 판교로 476-0","","13566","37.4050945","127.1266507","09","아동안전지킴이집","","",""
"140","50039731","(분당)CU 분당정자점","031-786-1956","경기도 성남시 분당구 내정로17번길 3-0","","13612","37.3615243","127.1140948","09","아동안전지킴이집","","",""
"141","50039770","(분당)CU 이매아름점","031-704-3235","경기도 성남시 분당구 탄천로 95-0","","13523","37.40120014","127.12111831","09","아동안전지킴이집","","",""
"142","50039737","(분당)CU 정자플라워점","031-716-7297","경기도 성남시 분당구 내정로119번길 11-1","","13609","37.3714911","127.1142147","09","아동안전지킴이집","","",""
"143","50033883","(분당)CU 판교월드마크점","031-702-0135","경기도 성남시 분당구 대왕판교로606번길 58-0","","463-400","37.3955092","127.1136046","09","아동안전지킴이집","","",""
"144","50039779","(분당)CU 폴라리스점","031-716-2258","경기도 성남시 분당구 성남대로 381-0","","13555","37.3702689","127.107455","09","아동안전지킴이집","","",""
"145","50039734","(분당)GS25 분당느티점","031-715-3185","경기도 성남시 분당구 느티로69번길 5-0","","13610","37.3690611","127.1121998","09","아동안전지킴이집","","",""
"146","50039892","(분당)GS25 분당대덕점","031-716-6070","경기도 성남시 분당구 정자일로 25-0","","13616","37.3523868","127.1056237","09","아동안전지킴이집","","",""
"147","50039754","(분당)GS25 분당샛별마을점","031-705-0219","경기도 성남시 분당구 수내로 201-0","","13581","37.3706471","127.1291727","09","아동안전지킴이집","","",""
"148","50039890","(분당)GS25 분당성원점","031-717-6395","경기도 성남시 분당구 성남대로 170-0","","13618","37.3511452","127.1094648","09","아동안전지킴이집","","",""
"149","50039784","(분당)GS25 분당정자점","031-719-7855","경기도 성남시 분당구 내정로17번길 4-11","","13612","37.3627215","127.1139226","09","아동안전지킴이집","","",""
"150","50039763","(분당)GS25 오리역점","031-8022-6004","경기도 성남시 분당구 성남대로43번길 10-0","","13636","37.3400041","127.1077681","09","아동안전지킴이집","","",""
"151","50039893","(분당)GS25 정자으뜸점","031-719-4945","경기도 성남시 분당구 백현로144번길 7-6","","13609","37.3725799","127.1140099","09","아동안전지킴이집","","",""
"152","50039894","(분당)GS25 파빌리온점","031-785-4025","경기도 성남시 분당구 성남대로 393-0","","13555","37.3716455","127.107179","09","아동안전지킴이집","","",""
"153","50039733","(분당)GS25 프리아점","031-703-6525","경기도 성남시 분당구 야탑로 106-0","","13517","37.4095565","127.1305525","09","아동안전지킴이집","","",""
"154","50043094","(분당)GS25미금씨티밸리점","--","경기도 성남시 분당구 성남대로171번길 17-0","","13615","37.3511159","37.3511159","09","아동안전지킴이집","","",""
"155","50039773","(분당)HM24편의점 서판교점","--","경기도 성남시 분당구 운중로126번길 5-0","","13466","37.3909788","127.0773504","09","아동안전지킴이집","","",""
"156","50039750","(분당)경신바이크","031-718-3091","경기도 성남시 분당구 내정로166번길 7-6","","13599","37.3728097","127.1206573","09","아동안전지킴이집","","",""
"157","50039761","(분당)구미동우체국","031-712-3004","경기도 성남시 분당구 돌마로90번길 6-3","","13627","37.3493039","127.1114505","09","아동안전지킴이집","","",""
"158","50039760","(분당)구미문구","031-719-4405","경기도 성남시 분당구 미금로22번길 9-0","","13626","37.3365034","127.1179773","09","아동안전지킴이집","","",""
"159","50039771","(분당)금호세탁소","031-712-2530","경기도 성남시 분당구 수내로 74-0","","13597","37.3779724","127.1181694","09","아동안전지킴이집","","",""
"160","50039762","(분당)기린약국","031-711-4771","경기도 성남시 분당구 미금로 48-0","","13626","37.337817","127.1165062","09","아동안전지킴이집","","",""
"161","50043096","(분당)꿈꾸는 약국","031-8017-2700","경기도 성남시 분당구 서판교로 36-0","","13479","37.3899477","37.3899477","09","아동안전지킴이집","","",""
"162","50039753","(분당)나라부동산","031-8016-6700","경기도 성남시 분당구 동판교로52번길 5-0","","13535","37.3875057","127.1145458","09","아동안전지킴이집","","",""
"163","50039787","(분당)늘푸른문구","031-726-4947","경기도 성남시 분당구 정자일로 80-0","","13562","37.3574614","127.107031","09","아동안전지킴이집","","",""
"164","50039743","(분당)다원반찬","031-707-6219","경기도 성남시 분당구 불정로386번길 10-0","","13587","37.3731713","127.1379502","09","아동안전지킴이집","","",""
"165","50039788","(분당)뜨락꽃집","031-712-6473","경기도 성남시 분당구 내정로 24-0","","13602","37.3626908","127.1158421","09","아동안전지킴이집","","",""
