"serial_no","place_name","phone_number","address","zip_code","sigungu","sido"
"50039938","(부천시)밥토리","032-000-0000","경기도 부천시 부일로 341-0 팰리스카운티중앙상가 116호","14613","부천시","경기"
"50008234","(부천시)복사골문구점","032-654-6444","경기도 부천시 중동로 162-0 상가 103호","14609","부천시","경기"
"50008318","(부천시)부천메디칼약국","032-611-4040","경기도 부천시 부천로90번길 8-0 1층","14570","부천시","경기"
"50039721","(부천시)부천보룡약국","032-321-4536","경기도 부천시 계남로242번길 35-4 1층","14534","부천시","경기"
"50008380","(부천시)부천상동우체국","032-323-4082","경기도 부천시 부흥로 76-0 1층","14596","부천시","경기"
"50008249","(부천시)부천중3동우체국","032-324-0005","경기도 부천시 계남로 211-0","14535","부천시","경기"
"50039728","(부천시)쁘띠씨엘 제과점","032-322-0208","경기도 부천시 장말로 135-0 사랑마을청구상가 113호","14600","부천시","경기"
"50039722","(부천시)사랑약국","032-322-6036","경기도 부천시 중동로 326-0 1층","14535","부천시","경기"
"50037244","(부천시)상동세일마트(구코사마트)","032-665-0420","경기도 부천시 장말로200번길 29-0 1층","14620","부천시","경기"
"50008360","(부천시)상동세종약국","032-328-3560","경기도 부천시 상이로 43-0","14593","부천시","경기"
"50043101","(부천시)상동자이공인중개사","032-328-2088","경기도 부천시 조마루로 52-0 102호","14591","부천시","경기"
"50037870","(부천시)색연필문구점","032-328-7774","경기도 부천시 부흥로 71-0 백송마을 상가 102호","14591","부천시","경기"
"50008279","(부천시)서울메디칼약국","032-217-0065","경기도 부천시 송내대로265번길 85-0","14542","부천시","경기"
"50008345","(부천시)성가약국","032-676-3200","경기도 부천시 부천로245번길 40-0 1층","14525","부천시","경기"
"50039601","(부천시)세븐일레븐 부천 라일락마을점","070-8888-4300","경기도 부천시 도약로 33-0 1층","14504","부천시","경기"
"50037254","(부천시)셀파우등생교실","032-675-6958","경기도 부천시 신흥로335번길 12-0 1층","14517","부천시","경기"
"50037246","(부천시)송림마트","032-323-8464","경기도 부천시 부흥로 2-0 102호","14593","부천시","경기"
"50031501","(부천시)시민슈퍼","032-612-7973","경기도 부천시 부일로275번길 14-0 1층","14621","부천시","경기"
"50008238","(부천시)심곡동우체국","032-215-9978","경기도 부천시 부일로 412-0 1층","14628","부천시","경기"
"50008302","(부천시)심원모닝아트문구점","032-666-2737","경기도 부천시 계남로346번길 40-0 1층","14551","부천시","경기"
"50037245","(부천시)역전슈퍼","032-665-6420","경기도 부천시 석천로2번길 74-0 1층","14625","부천시","경기"
"50039726","(부천시)완도건어물","032-657-4102","경기도 부천시 장말로199번길 30-0 시장 상가 1층","14605","부천시","경기"
"50039727","(부천시)우리문구사","032-653-0410","경기도 부천시 장말로187번길 31-0 1층","14606","부천시","경기"
"50008296","(부천시)원미센타약국","032-668-7313","경기도 부천시 부천로 107-0","14577","부천시","경기"
"50039614","(부천시)원미팔공팔공마트","032-613-8080","경기도 부천시 조마루로358번길 17-0 33-0","14576","부천시","경기"
"50008306","(부천시)유림약국","032-665-3793","경기도 부천시 원미로 111-0 1층","14571","부천시","경기"
"50037867","(부천시)이마트24 R역곡센트레빌","032-000-0000","경기도 부천시 지봉로63번길 20-0 1층","14663","부천시","경기"
"50037253","(부천시)이마트24 R춘의역점","032-675-5130","경기도 부천시 길주로391번길 25-0 1층","14529","부천시","경기"
"50039600","(부천시)이마트24부천상동연우점","032-321-5072","경기도 부천시 평천로 597-0 1층 121호","14503","부천시","경기"
"50039607","(부천시)이마트24부천샤인점","032-323-0901","경기도 부천시 소향로 228-0 미리내마을 제1층 상가 108호","14579","부천시","경기"
"50008245","(부천시)이플러스마트","032-326-3438","경기도 부천시 계남로 202-0 1층","14539","부천시","경기"
"50008228","(부천시)이화약국","032-652-8684","경기도 부천시 장말로 294-0 1층","14615","부천시","경기"
"50008288","(부천시)주연테크컴퓨터","032-323-8119","경기도 부천시 계남로334번길 33-4","14551","부천시","경기"
"50008285","(부천시)중동종로약국","032-329-8006","경기도 부천시 부흥로303번길 36-0 금호프라자 1층","14582","부천시","경기"
"50008319","(부천시)창대마트","032-657-7388","경기도 부천시 원미로198번길 19-0 1층","14561","부천시","경기"
"50008305","(부천시)천지약국","032-651-5872","경기도 부천시 원미로 141-0","14568","부천시","경기"
"50008232","(부천시)최재연헤어모드","032-612-9767","경기도 부천시 심중로132번길 38-0 1층","14610","부천시","경기"
"50008309","(부천시)캔디문구","032-611-2813","경기도 부천시 조종로 32-0 1층","14571","부천시","경기"
"50039724","(부천시)커피에반하다 목련마을점","032-327-9640","경기도 부천시 신상로 91-0 목련마을상가 103호","14595","부천시","경기"
"50036791","(부천시)코사나들가게","032-614-4561","경기도 부천시 신흥로112번길 28-0 1층","14629","부천시","경기"
"50039616","(부천시)코사마트역곡점","032-342-5400","경기도 부천시 지봉로107번길 21-0 역곡1동 86 뉴목화타운 가-101","14668","부천시","경기"
"50008262","(부천시)포도할인마트","032-322-1031","경기도 부천시 소향로 124-0","14583","부천시","경기"
"50031500","(부천시)풍전슈퍼","032-644-8909","경기도 부천시 조마루로 428-0 1층","14567","부천시","경기"
"50008366","(부천시)학생문구","032-655-8599","경기도 부천시 심중로27번길 124-0 1층","14626","부천시","경기"
"50008325","(부천시)한국마트","032-344-3570","경기도 부천시 안곡로 292-0","14665","부천시","경기"
"50008324","(부천시)한국부동산","032-344-8944","경기도 부천시 안곡로 292-0 상가동 109호","14665","부천시","경기"
"50008304","(부천시)한빛약국","032-611-6330","경기도 부천시 원미로143번길 12-0 1층","14567","부천시","경기"
"50039723","(부천시)한양공인중개사사무소","032-324-0400","경기도 부천시 조마루로 47-0 상가동 103호","14587","부천시","경기"
"50042533","(부천시)한우축산무할인매장","032-326-8787","경기도 부천시 조마루로 246-0 1층","14581","부천시","경기"
"50037240","(부천시)홈 PLUS마트","032-321-1534","경기도 부천시 중동 (중4동 1028), 계남로 105 한라마을 상가 1층","14511","부천시","경기"
"50008263","(부천시)홍진김밥","032-324-2997","경기도 부천시 조마루로 135-0","14583","부천시","경기"
"50039790","(분당)24시공인중개사","031-712-5700","경기도 성남시 분당구 정자로 144-0","13603","성남시","경기"
"50038953","(분당)CU 동판교골드점","--","경기도 성남시 분당구 동판교로 212-0 제4상가동 101호","13491","성남시","경기"
"50038954","(분당)CU 미금먹자골목점","031-711-7162","경기도 성남시 분당구 미금일로86번길 9-0 구미동","13627","성남시","경기"
"50039767","(분당)CU 분당이매점","031-709-0350","경기도 성남시 분당구 판교로 476-0","13566","성남시","경기"
"50039731","(분당)CU 분당정자점","031-786-1956","경기도 성남시 분당구 내정로17번길 3-0","13612","성남시","경기"
"50039770","(분당)CU 이매아름점","031-704-3235","경기도 성남시 분당구 탄천로 95-0","13523","성남시","경기"
"50039737","(분당)CU 정자플라워점","031-716-7297","경기도 성남시 분당구 내정로119번길 11-1","13609","성남시","경기"
"50033883","(분당)CU 판교월드마크점","031-702-0135","경기도 성남시 분당구 대왕판교로606번길 58-0","463-400","성남시","경기"
"50039779","(분당)CU 폴라리스점","031-716-2258","경기도 성남시 분당구 성남대로 381-0","13555","성남시","경기"
"50039734","(분당)GS25 분당느티점","031-715-3185","경기도 성남시 분당구 느티로69번길 5-0","13610","성남시","경기"
"50039892","(분당)GS25 분당대덕점","031-716-6070","경기도 성남시 분당구 정자일로 25-0","13616","성남시","경기"
"50039754","(분당)GS25 분당샛별마을점","031-705-0219","경기도 성남시 분당구 수내로 201-0","13581","성남시","경기"
"50039890","(분당)GS25 분당성원점","031-717-6395","경기도 성남시 분당구 성남대로 170-0","13618","성남시","경기"
"50039784","(분당)GS25 분당정자점","031-719-7855","경기도 성남시 분당구 내정로17번길 4-11","13612","성남시","경기"
"50039763","(분당)GS25 오리역점","031-8022-6004","경기도 성남시 분당구 성남대로43번길 10-0","13636","성남시","경기"
"50039893","(분당)GS25 정자으뜸점","031-719-4945","경기도 성남시 분당구 백현로144번길 7-6","13609","성남시","경기"
"50039894","(분당)GS25 파빌리온점","031-785-4025","경기도 성남시 분당구 성남대로 393-0","13555","성남시","경기"
"50039733","(분당)GS25 프리아점","031-703-6525","경기도 성남시 분당구 야탑로 106-0","13517","성남시","경기"
"50043094","(분당)GS25미금씨티밸리점","--","경기도 성남시 분당구 성남대로171번길 17-0","13615","성남시","경기"
"50039773","(분당)HM24편의점 서판교점","--","경기도 성남시 분당구 운중로126번길 5-0","13466","성남시","경기"
"50039750","(분당)경신바이크","031-718-3091","경기도 성남시 분당구 내정로166번길 7-6","13599","성남시","경기"
"50039761","(분당)구미동우체국","031-712-3004","경기도 성남시 분당구 돌마로90번길 6-3","13627","성남시","경기"
"50039760","(분당)구미문구","031-719-4405","경기도 성남시 분당구 미금로22번길 9-0","13626","성남시","경기"
"50039771","(분당)금호세탁소","031-712-2530","경기도 성남시 분당구 수내로 74-0","13597","성남시","경기"
"50039762","(분당)기린약국","031-711-4771","경기도 성남시 분당구 미금로 48-0","13626","성남시","경기"
"50043096","(분당)꿈꾸는 약국","031-8017-2700","경기도 성남시 분당구 서판교로 36-0","13479","성남시","경기"
"50039753","(분당)나라부동산","031-8016-6700","경기도 성남시 분당구 동판교로52번길 5-0","13535","성남시","경기"
"50039787","(분당)늘푸른문구","031-726-4947","경기도 성남시 분당구 정자일로 80-0","13562","성남시","경기"
"50039743","(분당)다원반찬","031-707-6219","경기도 성남시 분당구 불정로386번길 10-0","13587","성남시","경기"
"50039788","(분당)뜨락꽃집","031-712-6473","경기도 성남시 분당구 내정로 24-0","13602","성남시","경기"
"50039740","(분당)라이프마트","031-702-0724","경기도 성남시 분당구 분당로 190-0","13581","성남시","경기"
"50039752","(분당)럭키공인중개사","031-8016-7777","경기도 성남시 분당구 판교로 20-0","13485","성남시","경기"
"50039758","(분당)모닝글로리 판교1호점","031-8016-0737","경기도 성남시 분당구 운중로 253-0","13477","성남시","경기"
"50039776","(분당)모아분식","031-8016-5090","경기도 성남시 분당구 판교원로 237-0","13483","성남시","경기"
"50039742","(분당)미래팜대학약국","031-717-7570","경기도 성남시 분당구 돌마로 46-0","13630","성남시","경기"
"50039887","(분당)백현공인중개사","031-781-8822","경기도 성남시 분당구 백현로144번길 24-0","13609","성남시","경기"
"50039775","(분당)백현홈마트","031-704-7172","경기도 성남시 분당구 판교역로 102-0","13532","성남시","경기"
"50039745","(분당)부연정육점","031-702-4070","경기도 성남시 분당구 수내로 201-0","13581","성남시","경기"
"50039889","(분당)분당우리약국","031-703-5248","경기도 성남시 분당구 장안로 27-0","13583","성남시","경기"
"50039782","(분당)분당우체국","031-725-8000","경기도 성남시 분당구 황새울로 347-0","13590","성남시","경기"
"50039769","(분당)비엠디온누리약국","031-707-1959","경기도 성남시 분당구 성남대로779번길 50-0","13523","성남시","경기"
"50039759","(분당)산운명품크리닝","031-8017-7005","경기도 성남시 분당구 운중로113번길 4-15","13461","성남시","경기"
"50043353","(분당)삼평동우체국","031-8017-3004","경기도 성남시 분당구 동판교로266번길 20-0 삼평동우체국","13490","성남시","경기"
"50039768","(분당)샬롬약국","031-709-4746","경기도 성남시 분당구 양현로94번길 21-0","13568","성남시","경기"
"50039778","(분당)서현1동우체국","031-701-0004","경기도 성남시 분당구 중앙공원로39번길 31-0","13588","성남시","경기"
"50039780","(분당)서현2동우체국","031-701-0106","경기도 성남시 분당구 분당로263번길 49-0","13587","성남시","경기"
"50039765","(분당)세븐일레븐 분당성우점","031-711-7025","경기도 성남시 분당구 구미로 16-0","13638","성남시","경기"
"50039735","(분당)세븐일레븐 분당야탑2호점","031-781-9675","경기도 성남시 분당구 야탑로 105-0","13505","성남시","경기"
"50039908","(분당)세븐일레븐 야탑엔즈빌점","031-781-7286","경기도 성남시 분당구 장미로48번길 14-0","13496","성남시","경기"
"50039736","(분당)세븐일레븐 오리역점","031-713-4774","경기도 성남시 분당구 성남대로 38-0","13637","성남시","경기"
"50039751","(분당)세븐일레븐 초림점","031-712-9165","경기도 성남시 분당구 내정로165번길 50-0","13597","성남시","경기"
"50039749","(분당)수내동우체국","031-711-0004","경기도 성남시 분당구 내정로166번길 27-0","13599","성남시","경기"
"50043097","(분당)수내약국","031-719-9043","경기도 성남시 분당구 내정로166번길 43-0 101호","13599","성남시","경기"
"50039918","(분당)아름문구","031-704-0450","경기도 성남시 분당구 장안로52번길 3-0","13584","성남시","경기"
"50039785","(분당)안경박사 초림점","031-711-8646","경기도 성남시 분당구 내정로165번길 38-0","13597","성남시","경기"
"50039900","(분당)야탑동우체국","031-709-8003","경기도 성남시 분당구 장미로86번길 17-0","13505","성남시","경기"
"50039898","(분당)엄마약국","031-707-5440","경기도 성남시 분당구 불정로 379-0","13586","성남시","경기"
"50039739","(분당)연세부동산","031-703-8924","경기도 성남시 분당구 느티로 65-0","13610","성남시","경기"
"50039899","(분당)올림픽스포츠센터","02-3434-7906","경기도 성남시 분당구 중앙공원로 35-0","13588","성남시","경기"
"50039774","(분당)운중동우체국","031-701-8302","경기도 성남시 분당구 운중로138번길 7-1","13466","성남시","경기"
"50039902","(분당)유정약국","031-708-0927","경기도 성남시 분당구 벌말로 10-0","","성남시","경기"
"50039755","(분당)정문약국","031-703-3119","경기도 성남시 분당구 중앙공원로40번길 42-0","13589","성남시","경기"
"50039781","(분당)정자동우체국","031-714-9004","경기도 성남시 분당구 정자일로198번길 6-0","13558","성남시","경기"
"50039897","(분당)중앙약국","031-703-7060","경기도 성남시 분당구 돌마로 478-0","13586","성남시","경기"
"50039777","(분당)진흥문구","031-705-0727","경기도 성남시 분당구 양현로 138-0","13567","성남시","경기"
"50038951","(분당)참시루","031-714-5033","경기도 성남시 분당구 느티로77번길 3-0 101호 정자동 65-6","13610","성남시","경기"
"50039888","(분당)크린팜대학약국","031-712-4168","경기도 성남시 분당구 금곡로 233-0","13617","성남시","경기"
"50039757","(분당)탑마을 오렌지약국","031-705-7634","경기도 성남시 분당구 야탑로69번길 21-0","13497","성남시","경기"
"50039904","(분당)탑마을약국","031-703-5773","경기도 성남시 분당구 성남대로916번길 20-0","13506","성남시","경기"
"50039911","(분당)파리바게트 분당중탑점","031-706-8203","경기도 성남시 분당구 벌말로 48-0","13503","성남시","경기"
"50039738","(분당)파리바게트 상탑점","031-702-0268","경기도 성남시 분당구 야탑로 253-0","13508","성남시","경기"
"50043095","(분당)파리바게트 판교대장점","031-711-9969","경기도 성남시 분당구 대장동 627-5 파리바게뜨판교대장점 경기도 성남시 분당구 판교대장로 92","13544","성남시","경기"
"50039730","(분당)판교원약국","031-709-7577","경기도 성남시 분당구 판교원로 207-0","13485","성남시","경기"
"50039895","(분당)피자스쿨 분당서현점","031-781-8295","경기도 성남시 분당구 중앙공원로39번길 7-0","13588","성남시","경기"
"50043098","(분당)하나약국","031-716-3459","경기도 성남시 분당구 미금일로 71-0","13632","성남시","경기"
"50038950","(분당)하늘미용실","031-721-4999","경기도 성남시 분당구 내정로 55-0 분산상가 103호","13611","성남시","경기"
"50039901","(분당)한국야쿠르트 야탑점","031-704-2918","경기도 성남시 분당구 야탑로161번길 16-8","13504","성남시","경기"
"50039764","(분당)한솥도시락 분당수내역점","031-711-7008","경기도 성남시 분당구 내정로173번길 49-0","13597","성남시","경기"
"50038024","(분당)한양세탁소","031-712-1589","경기도 성남시 분당구 내정로165번길 35-0","13597","성남시","경기"
"50039744","(분당)현대세탁소","031-708-4950","경기도 성남시 분당구 중앙공원로 20-0","13589","성남시","경기"
"50039905","(분당)홈케어굿모닝약국","031-707-1661","경기도 성남시 분당구 야탑로69번길 3-0","13497","성남시","경기"
"50002984","(사)해안어린이집","053-981-9406","대구광역시 동구 방촌로 69-0 750","","대구","대구"
"50043301","(상갈)GS25 기흥금화점","--","경기도 용인시 기흥구 금화로58번길 8-0 101호","17072","용인시","경기"
"50001314","(서귀포)CU남제주점","064-764-2688","제주특별자치도 서귀포시 태위로 673-0","63621","서귀포시","제주"
"50034359","(서귀포)CU모슬포점","064-794-5077","제주특별자치도 서귀포시 대정읍 상모리 3854-10","699-934","서귀포시","제주"
"50041239","(서귀포)CU서귀동홍하나점","064-733-6199","제주특별자치도 서귀포시 동홍중앙로 30-0","63589","서귀포시","제주"
"50038416","(서귀포)CU서귀사계중앙로점","--","제주특별자치도 서귀포시 산방로 363-1","63528","서귀포시","제주"
"50041242","(서귀포)CU서귀월평동점","064-739-6396","제주특별자치도 서귀포시 월평동","63562","서귀포시","제주"
"50001346","(서귀포)CU서귀포동홍점","064-762-2792","제주특별자치도 서귀포시 동홍동 1682","697-839","서귀포시","제주"
"50036837","(서귀포)CU성산신산점","--","제주특별자치도 서귀포시 일주동로 5115-0","63634","서귀포시","제주"
"50001360","(서귀포)CU제주서호점","064-739-2488","서귀포시 서호동  1476-8","697-847","서귀포시","제주"
"50041243","(서귀포)CU제주영어마을점","--","제주특별자치도 서귀포시 대정읍 구억리","63644","서귀포시","제주"
"50041236","(서귀포)CU태신로점","064-764-9211","제주특별자치도 서귀포시 태신로 1-0","63617","서귀포시","제주"
"50001363","(서귀포)EM환경센터","064-739-0892","서귀포시 도순동  406-1","697-832","서귀포시","제주"
"50001365","(서귀포)GS25 서귀도순점","064-739-2475","제주특별자치도 서귀포시 일주서로 327-0","63561","서귀포시","제주"
"50043171","(서귀포)GS25서귀소원점","--","제주특별자치도 서귀포시 중앙로 183-0","63584","서귀포시","제주"
"50036840","(서귀포)GS25시제주표선점","064-787-2262","제주특별자치도 서귀포시 표선중앙로 90-0","63629","서귀포시","제주"
"50001384","(서귀포)GS25시제주화순점","064-792-8338","서귀포시 안덕면 화순리  333-1","699-923","서귀포시","제주"
"50001279","(서귀포)GS25시표선중앙점","064-787-7500","서귀포시 표선면 표선리  688-1","699-914","서귀포시","제주"
"50034344","(서귀포)Mr.K 문구점","--","제주특별자치도 서귀포시 효돈로 172-0","697-030","서귀포시","제주"
"50041237","(서귀포)T24 제주남원점","064-764-2688","제주특별자치도 서귀포시 태위로 932-0","63617","서귀포시","제주"
"50001367","(서귀포)강정은성마트","064-739-0294","제주특별자치도 서귀포시 강정동 4416-10","697-829","서귀포시","제주"
